Date,France,Germany,Italy,Spain,Switzerland
28.02.20,0.57,0.57,10.77,0.53,0.94
29.02.20,0.85,0.69,14.71,0.72,1.4
01.03.20,1.49,1.34,18.69,1.41,2.11
02.03.20,1.94,1.55,27.98,1.77,2.81
03.03.20,2.66,1.89,30.4,2.43,3.51
04.03.20,3.16,2.36,41.45,3.22,4.33
05.03.20,4.25,3.16,51.18,4.26,6.67
06.03.20,6.31,4.82,63.92,5.56,10.18
07.03.20,9.15,8.24,76.81,7.97,24.46
08.03.20,10.68,10.2,97.47,9.16,30.9
09.03.20,16.8,10.86,122.18,12.55,38.86
10.03.20,21.07,13.72,151.96,25.65,43.77
11.03.20,26.62,15.61,168.14,34.92,57.35
12.03.20,34.04,18.88,206.46,45.59,75.14
13.03.20,42.92,28.54,250.38,64,99.95
14.03.20,54.63,36.88,292.58,90.14,131.2
15.03.20,67.14,45.71,294.07,122.57,159.05
16.03.20,80.92,58.28,397.29,165.18,257.48
17.03.20,98.98,72.42,463.56,195.82,257.48
18.03.20,115.35,86.2,521.97,238.15,310.14
19.03.20,136.3,98.75,591.67,292.22,352.27
