Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH
25.02.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26.02.20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27.02.20,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
28.02.20,1,0,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2
29.02.20,1,0,0,1,2,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2
01.03.20,2,0,0,2,2,1,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
02.03.20,2,0,0,4,3,3,2,2,0,9,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,9
03.03.20,6,0,0,4,3,3,2,2,0,9,0,0,1,0,0,0,0,0,1,0,6,0,2,2,1,13
04.03.20,7,0,0,6,3,3,6,2,0,9,0,0,1,0,0,1,0,0,3,0,7,0,8,2,1,13
05.03.20,9,0,1,6,6,8,8,2,0,11,1,2,1,0,0,1,0,0,3,0,10,0,8,3,3,19
06.03.20,11,0,1,20,9,17,8,11,0,13,2,2,8,0,0,2,0,0,7,1,29,0,22,4,5,26
07.03.20,14,0,1,20,13,22,8,19,0,15,2,4,11,0,0,2,0,0,7,1,45,0,29,5,6,30
08.03.20,14,0,1,34,19,29,10,33,0,17,2,5,17,0,0,3,0,0,7,1,58,0,46,7,7,40
09.03.20,14,0,2,34,19,33,10,35,0,17,2,5,17,0,0,3,1,0,7,1,68,0,46,8,7,40
10.03.20,15,0,2,39,22,39,12,48,0,18,3,6,27,0,0,7,1,0,7,3,92,0,51,15,7,49
11.03.20,22,0,2,41,25,49,16,76,2,23,5,8,27,4,0,10,1,4,8,4,119,0,86,18,7,59
12.03.20,22,0,2,51,31,80,26,76,2,28,7,8,33,4,0,14,1,7,9,5,171,0,132,23,7,92
13.03.20,28,0,5,62,42,101,31,86,2,39,7,18,37,5,7,19,1,8,10,5,218,0,198,29,7,140
14.03.20,31,0,8,68,60,119,33,107,2,47,7,18,40,8,8,20,3,8,12,5,262,0,249,36,14,148
